id,track_name,track_artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4kdy7pEmy9rvSUjTt5wFhV,Dance,Ratt,rock,0.5589999999999999,0.903,8.0,-9.5,1.0,0.0467,0.00151,0.0163,0.138,0.741,128.946,261387.0,4.0
4fR4U3RCQ0q49Jh8ws7rLC,Lonely Boy,Andrew Gold,rock,0.588,0.598,9.0,-13.288,1.0,0.0296,0.0386,5.8299999999999994e-05,0.107,0.866,123.72399999999999,264893.0,4.0
7MQXDt4rMP2VR1MQjq7LeS,Just Wait,Blues Traveler,rock,0.45299999999999996,0.569,7.0,-8.056000000000001,1.0,0.0297,0.102,2.75e-06,0.0896,0.292,137.619,334000.0,4.0
0vFDo1ed4LC3pmISYHeJV3,Am I Evil?,Metallica,rock,0.349,0.943,4.0,-5.704,1.0,0.0922,0.0012900000000000001,0.45399999999999996,0.0529,0.518,97.491,470133.0,4.0
6gKGC76dUBj2LloKQyxxDr,Renegades,X Ambassadors,rock,0.526,0.862,2.0,-6.002999999999999,1.0,0.0905,0.0144,0.0597,0.22899999999999998,0.528,90.052,195200.0,4.0
3fGR17imrNcMkwm5WZSBbI,Make It Real,The Jets,rock,0.7240000000000001,0.275,9.0,-11.332,1.0,0.0354,0.205,0.0001,0.0935,0.653,79.944,257067.0,4.0
09fQpSdFwQPXS4n7ADensn,Look At Me - Remastered 2010,John Lennon,rock,0.484,0.0628,6.0,-21.323,0.0,0.0298,0.8590000000000001,1.42e-05,0.109,0.34700000000000003,148.063,173653.0,4.0
1IriXCVgKWnjpJ1KDZGlDz,"I Know You Rider - Live at Harpur College, Binghamton, NY, May 2, 1970",Grateful Dead,rock,0.496,0.29,7.0,-18.894000000000002,1.0,0.0356,0.7090000000000001,0.0247,0.376,0.573,126.098,472990.0,4.0
3ljaom4mpylJvVocb6mHbQ,"Night, Night Of The Assassins - Studio Session: mars Studio 1980/09/09",Les Rallizes Dénudés,rock,0.27699999999999997,0.593,1.0,-9.113,1.0,0.0362,0.000139,0.845,0.11900000000000001,0.128,83.32799999999999,760000.0,4.0
5XCPY7thylYmy22C9JWaUi,Ángel Para Un Final,Los Bunkers,rock,0.259,0.654,6.0,-3.858,0.0,0.0331,0.025,0.0,0.21899999999999997,0.452,181.893,243160.0,3.0
7C65Cntage9GWXjn0yUf0S,"Woman - Stripped Down Mix, 2010",John Lennon,rock,0.65,0.507,3.0,-8.582,1.0,0.0382,0.21600000000000003,0.0035600000000000002,0.0642,0.6679999999999999,159.828,225227.0,4.0
3fmnd9hTa40539LLKH9AjA,Silence Is Golden,Frankie Valli & The Four Seasons,rock,0.528,0.425,3.0,-10.399000000000001,1.0,0.0258,0.78,0.0,0.10300000000000001,0.434,100.181,203893.0,4.0
15R6d47UZalM3uST1WGk7E,Suffragette City - 1990 Remaster,David Bowie,rock,0.436,0.877,2.0,-11.017000000000001,1.0,0.0363,0.405,0.0,0.26899999999999996,0.8340000000000001,142.929,206400.0,4.0
19Rs0rDi9tJlWG7pimu9hd,Let the Right One Slip In - Long Mix,Morrissey,rock,0.45799999999999996,0.909,2.0,-7.165,1.0,0.0316,0.00185,0.000647,0.136,0.9420000000000001,154.164,193520.0,4.0
2IBGILxaWkcN6vNt2oTgRz,Leader of the Pack,Twisted Sister,rock,0.604,0.5920000000000001,8.0,-13.002,1.0,0.0347,0.0108,1.08e-06,0.19399999999999998,0.376,127.905,225280.0,4.0
0J8x2FryJyw7OVnEGYNFQE,Slow Dances,Winnetka Bowling League,rock,0.595,0.77,11.0,-5.392,1.0,0.0359,0.0129,0.0025399999999999997,0.152,0.755,133.961,232280.0,4.0
1am4i5c7lpan6Zeoo7Wa83,The Funeral Of Hearts,HIM,rock,0.555,0.835,6.0,-5.096,0.0,0.0364,0.0186,1.63e-05,0.276,0.335,114.02799999999999,270170.0,4.0
5NgdrtTRqLiT6G3CNvdr6T,Build Me Up Buttercup - Rerecorded,The Foundations,rock,0.7070000000000001,0.8140000000000001,0.0,-7.364,1.0,0.0368,0.158,2.73e-06,0.106,0.922,132.066,185480.0,4.0
1n7K7X0cU4pRA9uUA6njro,Children of the Damned - 1998 Remaster,Iron Maiden,rock,0.213,0.816,4.0,-5.532,0.0,0.0456,0.00912,0.051,0.322,0.457,192.308,275213.0,4.0
7hNTssTfXAeVRpoig8Qc31,"Turn on Your Lovelight - Live at Nassau Coliseum, Uniondale, New York 3/29/90",Grateful Dead,rock,0.595,0.7170000000000001,9.0,-10.071,1.0,0.0747,0.606,0.00286,0.355,0.514,110.23700000000001,461147.0,4.0
3PEOj1PQDgS9bArJqBy53g,Sun Moon and Star,The Maytals,rock,0.883,0.5710000000000001,9.0,-7.3870000000000005,1.0,0.0467,0.47600000000000003,0.000128,0.138,0.983,123.137,194653.0,4.0
7cwlGuG0tHGp7taJTU4ebu,Going To The Country,Bruce Cockburn,rock,0.485,0.33299999999999996,6.0,-13.418,1.0,0.0289,0.7809999999999999,0.00156,0.11699999999999999,0.527,100.895,196267.0,4.0
4mjRBGJ2HKf9cvL8ymKnlg,El Perdedor,Blues Boys,rock,0.39399999999999996,0.344,9.0,-14.798,1.0,0.0815,0.00939,1.64e-05,0.0863,0.297,150.118,214367.0,4.0
